activity_id,molecule_chembl_id,target_chembl_id,assay_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,potential_duplicate,canonical_smiles,structure_status,fingerprint,ic50_nM,pIC50
34669,CHEMBL304271,CHEMBL203,CHEMBL674637,IC50,=,0.45,nM,9.35,,0,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,valid,bitstring:01000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000010000000000100000000000000000000000100000000000000000000000000000100000000000010000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010010100000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000010000010000000000010000000000000000000000000100000000000000000100000000000000000000000001000010000000010000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000010010000000000000000000000000000100000100000010000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000100000000000000000000000100000000010000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000010000000010000000010000000000000000000000000000110000000000000000000000101001000000000000000000000000000000000000000100000000000000000001000000000000000000000000000001000000000000000000010000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000001000000000000000000010000000000001000000000000000000000001000000000,0.45,9.346787486224656
58122,CHEMBL67003,CHEMBL203,CHEMBL674637,IC50,=,1.8,nM,8.74,,0,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,valid,bitstring:00000000000100000000000000000000000000000001010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000010000000000000000000000000100000100000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000010000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000100000000100000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000001000000000000000000000100000000000000000000100001000001000000000000000000000000100000010000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000001000000100000000000000000000000100001000000000010000000000000000000000000001000000000000000000000001010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000100000000000000001000000000000000010000000010000000010000000000000000000000000000010000000000000000000000101001000100000000001000000000000000000000000100000000000000000001000000000000000000000000000000000000000000001000000000000000001000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000100000000000000000000000010,1.8,8.744727494896694
62047,CHEMBL305246,CHEMBL203,CHEMBL674637,IC50,=,2.8,nM,8.55,,0,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid,bitstring:00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000010000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000010000000000010000000000000000000000000100000000000000000000000000000000000000000001000010000000010000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000010000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000100000000000000000000000100000000000000010000000000000000000000000001000000010000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000100000000000000000000000000000001000000000000000010000000010000000010000000000000000000000000000010000000000000000000000101001000000000000000000000000000000000000000100000000000000000001000000000000000000000000000001000000000000000000000000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000,2.8,8.55284196865778
47933,CHEMBL67057,CHEMBL203,CHEMBL674637,IC50,=,4.5,nM,8.35,,0,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,valid,bitstring:00000000000100000000000000000000000000000000010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000010000000000000000000000000100000100000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000100000000000000100000000000000001000000000000000000000000010000000000000010000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000100000000100000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000001000000000000000000000100000000000010000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000001000000100000000000000000000000100001000000000010010000000000000000000000011000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000001000000000000000010000100010000000010000000000000000000000000000010000000000000000000000101001000100000000001000000000000000000010000100000000000000000001000000000000000000000000000000000000000000001000000000000000001000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000100000000000000000000000000,4.5,8.346787486224656
58119,CHEMBL308645,CHEMBL203,CHEMBL674637,IC50,=,4.7,nM,8.33,,0,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid,bitstring:00000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000001000010000000010000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000100000000000000000100000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000100000000001000001000000000000000000000000100000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000100000000000000000000000100000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000010000000010000000000000000000000000000010000000000000010000000101001000000000000000000000000000000000000000100000000000000000001000000000000000000000000000001000000000000000000000000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000,4.7,8.327902142064282
50668,CHEMBL69629,CHEMBL203,CHEMBL674637,IC50,=,6.5,nM,8.19,,0,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid,bitstring:00000000100000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010010100000000000000000000000000000001000000000000000000000000000000000000010000000000001000000000001000000000000000000000000010000000000010000000000000000000000000100000100000000001100000000000000000000000001000010000000010000010000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000100000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000001000000100000000000000000000000100001000000000010000000000000000000000000001010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000010000000010000000010000000000000000000000000000010000000000000000000000101001000000000000000000000000000000000000000110000000000000000001000000000000000000000000000001000000001000000000000000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000,6.5,8.187086643357144
61241,CHEMBL134312,CHEMBL203,CHEMBL677833,IC50,=,11.0,nM,7.96,,0,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,valid,bitstring:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000100000000000000000000000000001000010000000000000000100100000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000100000100000010000000000000000000010000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000010000100000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000,11.0,7.958607314841775
53212,CHEMBL66570,CHEMBL203,CHEMBL674637,IC50,=,13.0,nM,7.89,,0,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,valid,bitstring:00000000000000000000000000000000001000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010100000000000000010000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000010000000000010000000000000000000000000100000000000000000000000000000000000000000001000010000000010000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000010000000000000010000000000000000000010000000000000000000001000000000100000000000010000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000100000000000000000000000100000000000000010000000000000000000000000001000000010000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000100000000000000000000000000000001000000000000000010000000010000000010000000000000000000000000000010000000000000000000000101001000000000000000000000000000000000000000110000000000000000001000000000000000000000000000001000000000000000000000000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000,13.0,7.886056647693163
42300,CHEMBL136491,CHEMBL203,CHEMBL677833,IC50,=,14.0,nM,7.85,,0,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,valid,bitstring:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000100000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000001000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000100000100000010000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000100000000000000000000000000000010000000000000000000000010000100000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000,14.0,7.853871964321762
46694,CHEMBL302552,CHEMBL203,CHEMBL674637,IC50,=,22.0,nM,7.66,,0,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,valid,bitstring:00000000100000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000100000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010010100000100000000000000000000000001000000001000000000000000000000000000010000000000001000000000001000000000000000000000000000000000000000000000000000000000000000100000100000000001000000000000000000000000001000010000000010000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000100100000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000001000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000001000000100000000000000000000000100001000000000010000000000000000000000000001010000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000010000000010000000000000000000000000000000000000000000000000000101001000000000000000000000000000000000000000110000000000000000001000000000000000000000000000001000000001000000000000000000000001000000000001000000000000000000000000000000010000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,22.0,7.657577319177793
