molecule_chembl_id,canonical_smiles,structure_status
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,valid
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,valid
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,valid
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,valid
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],valid
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,valid
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,valid
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,valid
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,valid
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,valid
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,valid
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,valid
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,valid
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,valid
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,valid
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,valid
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,valid
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,valid
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,valid
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,valid
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,valid
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,valid
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,valid
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,valid
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,valid
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,valid
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,valid
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,valid
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,valid
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,valid
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,valid
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,valid
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,valid
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,valid
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,valid
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,valid
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,valid
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,valid
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,valid
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,valid
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,valid
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,valid
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,valid
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,valid
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,valid
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,valid
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,valid
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,valid
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,valid
CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,valid
CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,valid
CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,valid
CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,valid
CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,valid
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,valid
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,valid
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,valid
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,valid
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,valid
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,valid
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,valid
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,valid
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,valid
CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,valid
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,valid
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,valid
CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,valid
CHEMBL310958,N#CC(C#N)=NNc1ccc(O)cc1,valid
CHEMBL78005,N#CC(C#N)=Cc1ccc2c(c1)OCO2,valid
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,valid
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,valid
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,valid
CHEMBL77778,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,valid
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,valid
