activity_id,molecule_chembl_id,target_chembl_id,assay_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,potential_duplicate
32260,CHEMBL68920,CHEMBL203,CHEMBL674637,IC50,=,41.0,nM,7.39,,0
32263,CHEMBL68920,CHEMBL203,CHEMBL621151,IC50,=,300.0,nM,6.52,,0
32265,CHEMBL68920,CHEMBL203,CHEMBL615325,IC50,=,7820.0,nM,5.11,,0
32267,CHEMBL69960,CHEMBL203,CHEMBL674637,IC50,=,170.0,nM,6.77,,0
32270,CHEMBL69960,CHEMBL203,CHEMBL621151,IC50,=,40.0,nM,7.40,,0
32272,CHEMBL69960,CHEMBL203,CHEMBL615325,IC50,=,440.0,nM,6.36,,0
32680,CHEMBL137635,CHEMBL203,CHEMBL677833,IC50,=,9300.0,nM,5.03,,0
32770,CHEMBL306988,CHEMBL203,CHEMBL674643,IC50,=,500000.0,nM,,Outside typical range,0
32772,CHEMBL66879,CHEMBL203,CHEMBL674643,IC50,=,3000000.0,nM,,Outside typical range,0
32780,CHEMBL77085,CHEMBL203,CHEMBL674643,IC50,=,96000.0,nM,4.02,,0
33406,CHEMBL443268,CHEMBL203,CHEMBL674637,IC50,=,5310.0,nM,5.28,,0
34039,CHEMBL76979,CHEMBL203,CHEMBL674643,IC50,=,264000.0,nM,,Outside typical range,0
34041,CHEMBL76589,CHEMBL203,CHEMBL674643,IC50,=,125.0,nM,6.90,,0
34045,CHEMBL77724,CHEMBL203,CHEMBL674643,IC50,>,1250000.0,nM,,Outside typical range,0
34047,CHEMBL420385,CHEMBL203,CHEMBL674643,IC50,>,625000.0,nM,,Outside typical range,0
34049,CHEMBL76904,CHEMBL203,CHEMBL674643,IC50,=,35000.0,nM,4.46,,0
34051,CHEMBL1009,CHEMBL203,CHEMBL674643,IC50,=,900000.0,nM,,Outside typical range,0
34669,CHEMBL304271,CHEMBL203,CHEMBL674637,IC50,=,0.45,nM,9.35,,0
35294,CHEMBL296407,CHEMBL203,CHEMBL674643,IC50,=,10000.0,nM,5.00,,0
35296,CHEMBL309625,CHEMBL203,CHEMBL674643,IC50,=,60000.0,nM,4.22,,0
35297,CHEMBL77825,CHEMBL203,CHEMBL674643,IC50,=,600000.0,nM,,Outside typical range,0
35301,CHEMBL421877,CHEMBL203,CHEMBL674643,IC50,=,850000.0,nM,,Outside typical range,0
36518,CHEMBL310798,CHEMBL203,CHEMBL674643,IC50,=,3000.0,nM,5.52,,0
37510,CHEMBL135592,CHEMBL203,CHEMBL677833,IC50,=,8000.0,nM,5.10,,0
40025,CHEMBL309866,CHEMBL203,CHEMBL674643,IC50,=,1300000.0,nM,,Outside typical range,0
40026,CHEMBL77381,CHEMBL203,CHEMBL674643,IC50,=,1360000.0,nM,,Outside typical range,0
41220,CHEMBL76602,CHEMBL203,CHEMBL674643,IC50,=,165000.0,nM,,Outside typical range,0
41222,CHEMBL77737,CHEMBL203,CHEMBL674643,IC50,=,250000.0,nM,,Outside typical range,0
41224,CHEMBL76983,CHEMBL203,CHEMBL674643,IC50,>,1250000.0,nM,,Outside typical range,0
41226,CHEMBL308134,CHEMBL203,CHEMBL674643,IC50,=,125000.0,nM,,Outside typical range,0
42300,CHEMBL136491,CHEMBL203,CHEMBL677833,IC50,=,14.0,nM,7.85,,0
42432,CHEMBL77280,CHEMBL203,CHEMBL674643,IC50,>,1250000.0,nM,,Outside typical range,0
42433,CHEMBL42423,CHEMBL203,CHEMBL674645,IC50,,,nM,,,0
43662,CHEMBL76557,CHEMBL203,CHEMBL674643,IC50,=,625000.0,nM,,Outside typical range,0
44685,CHEMBL336113,CHEMBL203,CHEMBL677833,IC50,=,1000.0,nM,6.00,,0
44690,CHEMBL133024,CHEMBL203,CHEMBL677833,IC50,=,100.0,nM,7.00,,0
44695,CHEMBL344652,CHEMBL203,CHEMBL677833,IC50,=,13350.0,nM,4.88,,0
44885,CHEMBL77814,CHEMBL203,CHEMBL674643,IC50,=,350000.0,nM,,Outside typical range,0
44886,CHEMBL47986,CHEMBL203,CHEMBL674643,IC50,=,14000.0,nM,4.85,,0
44964,CHEMBL441343,CHEMBL203,CHEMBL674646,IC50,,,nM,,,0
45867,CHEMBL138125,CHEMBL203,CHEMBL677833,IC50,=,238.0,nM,6.62,,0
45872,CHEMBL137364,CHEMBL203,CHEMBL677833,IC50,=,64.0,nM,7.19,,0
45958,CHEMBL308339,CHEMBL203,CHEMBL674643,IC50,=,1400000.0,nM,,Outside typical range,0
45961,CHEMBL78174,CHEMBL203,CHEMBL674643,IC50,=,430000.0,nM,,Outside typical range,0
46694,CHEMBL302552,CHEMBL203,CHEMBL674637,IC50,=,22.0,nM,7.66,,0
47278,CHEMBL309598,CHEMBL203,CHEMBL674643,IC50,=,13500.0,nM,4.87,,0
47286,CHEMBL78302,CHEMBL203,CHEMBL674643,IC50,>,250000.0,nM,,Outside typical range,0
47933,CHEMBL67057,CHEMBL203,CHEMBL674637,IC50,=,4.5,nM,8.35,,0
47936,CHEMBL67057,CHEMBL203,CHEMBL621151,IC50,=,100.0,nM,7.00,,0
