activity_id,molecule_chembl_id,target_chembl_id,assay_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,potential_duplicate
32260,CHEMBL68920,CHEMBL203,CHEMBL674637,IC50,=,41.0,nM,7.39,,0
32263,CHEMBL68920,CHEMBL203,CHEMBL621151,IC50,=,300.0,nM,6.52,,0
32265,CHEMBL68920,CHEMBL203,CHEMBL615325,IC50,=,7820.0,nM,5.11,,0
32267,CHEMBL69960,CHEMBL203,CHEMBL674637,IC50,=,170.0,nM,6.77,,0
32270,CHEMBL69960,CHEMBL203,CHEMBL621151,IC50,=,40.0,nM,7.40,,0
32272,CHEMBL69960,CHEMBL203,CHEMBL615325,IC50,=,440.0,nM,6.36,,0
32680,CHEMBL137635,CHEMBL203,CHEMBL677833,IC50,=,9300.0,nM,5.03,,0
32770,CHEMBL306988,CHEMBL203,CHEMBL674643,IC50,=,500000.0,nM,,Outside typical range,0
32772,CHEMBL66879,CHEMBL203,CHEMBL674643,IC50,=,3000000.0,nM,,Outside typical range,0
32780,CHEMBL77085,CHEMBL203,CHEMBL674643,IC50,=,96000.0,nM,4.02,,0
33406,CHEMBL443268,CHEMBL203,CHEMBL674637,IC50,=,5310.0,nM,5.28,,0
34039,CHEMBL76979,CHEMBL203,CHEMBL674643,IC50,=,264000.0,nM,,Outside typical range,0
34041,CHEMBL76589,CHEMBL203,CHEMBL674643,IC50,=,125.0,nM,6.90,,0
34045,CHEMBL77724,CHEMBL203,CHEMBL674643,IC50,>,1250000.0,nM,,Outside typical range,0
34047,CHEMBL420385,CHEMBL203,CHEMBL674643,IC50,>,625000.0,nM,,Outside typical range,0
34049,CHEMBL76904,CHEMBL203,CHEMBL674643,IC50,=,35000.0,nM,4.46,,0
34051,CHEMBL1009,CHEMBL203,CHEMBL674643,IC50,=,900000.0,nM,,Outside typical range,0
34669,CHEMBL304271,CHEMBL203,CHEMBL674637,IC50,=,0.45,nM,9.35,,0
35294,CHEMBL296407,CHEMBL203,CHEMBL674643,IC50,=,10000.0,nM,5.00,,0
35296,CHEMBL309625,CHEMBL203,CHEMBL674643,IC50,=,60000.0,nM,4.22,,0
